Trial,Accuracy (BBQ),Params
17,0.5065217391304347,"{'prompt_type': 'genericqa', 'num_sents': 200, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Pretend you are very ', 'coeff': 0.6000000000000001}"
18,0.5198369565217391,"{'prompt_type': 'genericqa', 'num_sents': 250, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Pretend you are very ', 'coeff': 0.8000000000000003}"
19,0.5372282608695652,"{'prompt_type': 'genericqa', 'num_sents': 350, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.4000000000000004}"
20,0.45461956521739133,"{'prompt_type': 'gender', 'num_sents': 350, 'items': 'accepting, prejudiced', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.6}"
21,0.5138586956521739,"{'prompt_type': 'genericqa', 'num_sents': 500, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.8000000000000003}"
22,0.532608695652174,"{'prompt_type': 'genericqa', 'num_sents': 250, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.6}"
23,0.5375,"{'prompt_type': 'genericqa', 'num_sents': 350, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.4000000000000004}"
24,0.5010869565217392,"{'prompt_type': 'race', 'num_sents': 350, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.6}"
25,0.38206521739130433,"{'prompt_type': 'generic', 'num_sents': 350, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.4000000000000004}"
26,0.47690217391304346,"{'prompt_type': 'disability', 'num_sents': 350, 'items': 'respectful, derogatory', 'system_prompt': 'Act as if you are extremely ', 'coeff': 2.0}"
27,0.4391304347826087,"{'prompt_type': 'sexuality', 'num_sents': 300, 'items': 'inclusive, bigoted', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.0}"
28,0.5497282608695652,"{'prompt_type': 'age', 'num_sents': 450, 'items': 'woke, racist and sexist', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.2000000000000002}"
29,0.5524456521739131,"{'prompt_type': 'age', 'num_sents': 500, 'items': 'woke, racist and sexist', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.4000000000000004}"
30,0.5383152173913044,"{'prompt_type': 'age', 'num_sents': 500, 'items': 'woke, racist and sexist', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.0}"
31,0.5383152173913044,"{'prompt_type': 'age', 'num_sents': 500, 'items': 'woke, racist and sexist', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.0}"
32,0.5383152173913044,"{'prompt_type': 'age', 'num_sents': 500, 'items': 'woke, racist and sexist', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.0}"
33,0.47255434782608696,"{'prompt_type': 'age', 'num_sents': 450, 'items': 'woke, racist and sexist', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.40000000000000036}"
34,0.5383152173913044,"{'prompt_type': 'age', 'num_sents': 500, 'items': 'woke, racist and sexist', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.0}"
35,0.4953804347826087,"{'prompt_type': 'age', 'num_sents': 450, 'items': 'woke, racist and sexist', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.6000000000000001}"
36,0.42282608695652174,"{'prompt_type': 'age', 'num_sents': 500, 'items': 'woke, racist and sexist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -0.3999999999999999}"
37,0.5211956521739131,"{'prompt_type': 'age', 'num_sents': 450, 'items': 'woke, racist and sexist', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.8000000000000003}"
38,0.45543478260869563,"{'prompt_type': 'age', 'num_sents': 400, 'items': 'multicultural, xenophobic', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.20000000000000018}"
39,0.4980978260869565,"{'prompt_type': 'age', 'num_sents': 500, 'items': 'woke, racist and sexist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.8000000000000003}"
40,0.5296195652173913,"{'prompt_type': 'age', 'num_sents': 450, 'items': 'feminist, sexist', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.2000000000000002}"
41,0.5383152173913044,"{'prompt_type': 'age', 'num_sents': 500, 'items': 'woke, racist and sexist', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.0}"
42,0.5383152173913044,"{'prompt_type': 'age', 'num_sents': 500, 'items': 'woke, racist and sexist', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.0}"
43,0.4904891304347826,"{'prompt_type': 'age', 'num_sents': 500, 'items': 'LGBTQ+, homophobic', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.6000000000000001}"
44,0.39891304347826084,"{'prompt_type': 'age', 'num_sents': 400, 'items': 'woke, racist and sexist', 'system_prompt': 'Act as if you are extremely ', 'coeff': -1.4}"
45,0.54375,"{'prompt_type': 'socioeconomic', 'num_sents': 450, 'items': 'woke, racist and sexist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.2000000000000002}"
46,0.5307065217391305,"{'prompt_type': 'socioeconomic', 'num_sents': 450, 'items': 'progressive, conservative', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.4000000000000004}"
47,0.49375,"{'prompt_type': 'socioeconomic', 'num_sents': 450, 'items': 'liberal, authoritarian', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.2000000000000002}"
48,0.4722826086956522,"{'prompt_type': 'socioeconomic', 'num_sents': 450, 'items': 'multicultural, xenophobic', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.8000000000000003}"
49,0.4230978260869565,"{'prompt_type': 'gender', 'num_sents': 400, 'items': 'woke, racist and sexist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -0.3999999999999999}"
29,0.5524456521739131,"{'prompt_type': 'age', 'num_sents': 500, 'items': 'woke, racist and sexist', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.4000000000000004}"
